Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,85.599998,87.250000,83.849998,86.800003,86.800003,74798625
2023-07-31,87.000000,87.150002,83.699997,84.099998,84.099998,49093355
2023-08-01,84.599998,85.699997,84.199997,84.750000,84.750000,34950470
2023-08-02,84.449997,85.949997,82.650002,85.050003,85.050003,54844625
2023-08-03,81.599998,88.400002,81.599998,86.550003,86.550003,123480816
2023-08-04,89.000000,98.400002,88.400002,95.400002,95.400002,405751648
2023-08-07,97.400002,102.849998,96.349998,97.599998,97.599998,249331637
2023-08-08,98.349998,100.300003,92.699997,93.449997,93.449997,160236123
2023-08-09,93.900002,94.849998,91.599998,94.099998,94.099998,109240947
2023-08-10,94.099998,96.150002,93.250000,94.250000,94.250000,87598556
2023-08-11,94.599998,95.199997,93.050003,93.449997,93.449997,38156809
2023-08-14,93.400002,93.400002,91.349998,92.750000,92.750000,46668447
2023-08-16,92.449997,95.599998,91.500000,91.900002,91.900002,76333138
2023-08-17,92.300003,93.250000,90.500000,91.150002,91.150002,45657095
2023-08-18,91.000000,91.400002,89.000000,89.349998,89.349998,50513070
2023-08-21,90.500000,90.500000,88.300003,89.750000,89.750000,36755760
2023-08-22,90.300003,94.300003,90.099998,91.900002,91.900002,104409241
2023-08-23,92.949997,95.000000,92.050003,94.300003,94.300003,64768237
2023-08-24,95.750000,95.750000,93.199997,93.800003,93.800003,47597101
2023-08-25,93.349998,93.349998,90.050003,91.000000,91.000000,65076321
2023-08-28,96.000000,96.099998,91.750000,92.349998,92.349998,141118441
2023-08-29,92.750000,95.000000,92.599998,94.699997,94.699997,86708316
2023-08-30,99.500000,100.500000,97.199997,99.800003,99.800003,250111714
2023-08-31,100.050003,100.800003,96.699997,97.599998,97.599998,113063640
2023-09-01,98.300003,98.349998,96.849998,97.199997,97.199997,47561928
2023-09-04,97.500000,98.599998,97.300003,98.050003,98.050003,37447917
2023-09-05,98.150002,99.300003,97.050003,98.199997,98.199997,51133944
2023-09-06,98.400002,98.849998,97.650002,98.199997,98.199997,28329667
2023-09-07,98.650002,101.599998,98.199997,100.050003,100.050003,111222776
2023-09-08,100.750000,101.099998,99.000000,99.599998,99.599998,63482366
2023-09-11,100.000000,102.550003,99.199997,101.349998,101.349998,83850675
2023-09-12,102.400002,102.500000,96.500000,98.750000,98.750000,90911794
2023-09-13,98.750000,100.750000,97.000000,97.900002,97.900002,71661116
2023-09-14,98.650002,100.099998,98.199997,99.449997,99.449997,45226055
2023-09-15,100.500000,104.449997,100.349998,102.949997,102.949997,148853172
2023-09-18,103.599998,105.000000,101.650002,102.150002,102.150002,69476642
2023-09-20,101.300003,104.900002,99.300003,100.000000,100.000000,104115507
2023-09-21,100.000000,100.949997,98.250000,99.150002,99.150002,40591612
2023-09-22,99.500000,101.400002,98.699997,99.900002,99.900002,39492725
2023-09-25,100.300003,100.500000,97.750000,98.449997,98.449997,34410972
2023-09-26,98.599998,100.400002,97.900002,99.900002,99.900002,36822528
2023-09-27,99.900002,101.199997,98.500000,100.099998,100.099998,34894254
2023-09-28,100.349998,100.599998,99.300003,99.949997,99.949997,25885383
2023-09-29,100.050003,102.750000,99.599998,101.500000,101.500000,49524816
2023-10-03,101.000000,105.900002,100.000000,105.300003,105.300003,82983688
2023-10-04,104.400002,104.400002,100.349998,100.750000,100.750000,68727969
2023-10-05,102.599998,107.699997,102.349998,105.400002,105.400002,140096809
2023-10-06,106.400002,107.199997,104.000000,104.449997,104.449997,65041435
2023-10-09,103.800003,105.250000,101.000000,103.900002,103.900002,53811658
2023-10-10,104.900002,107.949997,104.650002,106.050003,106.050003,67712329
2023-10-11,106.800003,109.800003,106.550003,109.000000,109.000000,93838782
2023-10-12,110.199997,113.250000,109.500000,109.849998,109.849998,117710894
2023-10-13,109.849998,111.800003,109.099998,111.000000,111.000000,55786063
2023-10-16,111.900002,112.750000,110.849998,111.500000,111.500000,47455521
2023-10-17,112.500000,114.199997,111.500000,113.849998,113.849998,55351894
2023-10-18,114.500000,115.099998,109.500000,113.199997,113.199997,100553806
2023-10-19,112.000000,113.150002,110.650002,111.650002,111.650002,43517012
2023-10-20,114.000000,114.500000,112.150002,113.349998,113.349998,64427436
2023-10-23,113.800003,113.900002,106.800003,108.900002,108.900002,70944550
2023-10-25,105.650002,109.500000,105.550003,108.250000,108.250000,59685089
2023-10-26,107.500000,108.000000,101.250000,106.449997,106.449997,108605538
2023-10-27,107.349998,109.250000,105.050003,105.650002,105.650002,43738547
2023-10-30,106.199997,108.599998,105.699997,107.699997,107.699997,48282252
2023-10-31,107.849998,108.150002,104.250000,105.099998,105.099998,49382539
2023-11-01,105.599998,107.150002,103.250000,103.699997,103.699997,47911258
2023-11-02,105.000000,108.000000,104.900002,107.550003,107.550003,47086204
2023-11-03,108.800003,119.900002,108.699997,116.500000,116.500000,238833377
2023-11-06,119.599998,123.900002,118.250000,123.300003,123.300003,186288904
2023-11-07,123.550003,126.349998,120.500000,121.300003,121.300003,120886007
2023-11-08,122.000000,125.699997,121.300003,125.150002,125.150002,75041688
2023-11-09,125.250000,125.550003,121.349998,121.849998,121.849998,50307832
2023-11-10,122.000000,123.300003,120.699997,121.300003,121.300003,43388163
2023-11-13,122.650002,123.099998,121.500000,122.199997,122.199997,28348143
2023-11-15,123.300003,125.199997,119.750000,120.250000,120.250000,60088818
2023-11-16,120.900002,122.550003,120.699997,121.849998,121.849998,36895083
2023-11-17,122.000000,125.000000,121.500000,122.199997,122.199997,43882213
2023-11-20,122.849998,123.400002,117.349998,118.150002,118.150002,52784478
2023-11-21,118.550003,119.000000,116.050003,116.500000,116.500000,45193553
2023-11-22,116.000000,117.800003,114.349998,115.300003,115.300003,52799865
2023-11-23,113.599998,115.750000,112.500000,112.949997,112.949997,56329090
2023-11-24,114.150002,116.000000,112.900002,113.250000,113.250000,49980086
2023-11-28,114.900002,116.900002,113.500000,113.800003,113.800003,61963724
2023-11-29,117.000000,119.199997,114.000000,116.599998,116.599998,115274058
2023-11-30,118.800003,120.699997,116.150002,118.550003,118.550003,225208168
2023-12-01,118.000000,118.349998,115.099998,116.300003,116.300003,57261076
2023-12-04,118.750000,119.000000,116.250000,117.400002,117.400002,66057180
2023-12-05,117.900002,118.250000,116.250000,116.750000,116.750000,57483305
2023-12-06,117.150002,119.699997,116.599998,118.900002,118.900002,48171753
2023-12-07,119.599998,122.199997,118.400002,121.699997,121.699997,52483562
2023-12-08,123.000000,123.900002,119.300003,119.949997,119.949997,44213196
2023-12-11,119.949997,120.500000,117.550003,118.449997,118.449997,32372287
2023-12-12,119.000000,119.300003,114.150002,116.750000,116.750000,40800538
2023-12-13,116.900002,120.500000,116.150002,120.000000,120.000000,48092329
2023-12-14,121.000000,124.949997,120.500000,124.150002,124.150002,74178495
2023-12-15,124.500000,125.000000,122.400002,123.599998,123.599998,39542770
2023-12-18,123.400002,129.199997,121.550003,128.550003,128.550003,89553155
2023-12-19,129.000000,131.750000,127.400002,130.250000,130.250000,64117314
2023-12-20,130.350006,131.000000,123.150002,124.750000,124.750000,49006056
2023-12-21,122.150002,128.699997,120.199997,127.349998,127.349998,52326124
2023-12-22,130.550003,131.000000,125.300003,128.500000,128.500000,63113800
2023-12-26,128.500000,128.699997,124.300003,125.000000,125.000000,25499782
2023-12-27,125.699997,127.599998,125.550003,127.050003,127.050003,21757560
2023-12-28,124.900002,125.500000,120.599998,123.199997,123.199997,72865479
2023-12-29,124.000000,125.550003,123.250000,123.699997,123.699997,27512604
2024-01-01,124.449997,125.599998,122.849998,124.500000,124.500000,24228685
2024-01-02,127.000000,129.449997,125.500000,128.699997,128.699997,69395959
2024-01-03,128.800003,130.250000,127.099998,127.550003,127.550003,39101172
2024-01-04,128.399994,130.899994,126.449997,129.750000,129.750000,45285624
2024-01-05,130.899994,134.350006,128.949997,133.300003,133.300003,55608923
2024-01-08,133.649994,133.649994,130.000000,132.850006,132.850006,38912423
2024-01-09,133.199997,135.000000,132.600006,134.300003,134.300003,33803263
2024-01-10,134.250000,136.149994,132.250000,134.649994,134.649994,29917881
2024-01-11,135.300003,139.000000,135.050003,138.350006,138.350006,41809415
2024-01-12,140.000000,141.500000,136.800003,139.550003,139.550003,45508277
